ticker,company_name,exchange,security_types,sector,market_cap_usd,total_revenue_usd,annual_revenue_growth_pct,net_income_usd,free_cash_flow_usd,cash_and_short_term_investments_usd,total_debt_usd,daily_dollar_volume_usd
NVDA,NVIDIA Corporation,NASDAQ,common,Electronic Technology,5422978000000,215938000000,65.4735357900948,120067000000,119076000000,,12814000000,24343180622.03
AAPL,Apple Inc.,NASDAQ,common,Electronic Technology,4411090863525.998,416161000000,6.425511782832739,112010000000,136683000000,,84344000000,12575794335
GOOG,Alphabet Inc.,NASDAQ,common,Technology Services,4192537569020.167,402962000000,15.195522102187779,132170000000,53273000000,,117348446000,5332963965.7
MSFT,Microsoft Corporation,NASDAQ,common,Technology Services,3656561308603.913,331839000000,17.78868679984666,133749000000,66987000000,,128813000000,14249843808.58
AMZN,"Amazon.com, Inc.",NASDAQ,common,Retail Trade,2882966010700.7456,716924000000,12.377754683294695,77670000000,-11625000000,,241995000000,7994260339.5199995
AVGO,Broadcom Inc.,NASDAQ,common,Electronic Technology,1979391127625.2622,63887000000,23.874432853763526,23126000000,32762000000,,64907000000,6592525267.6
SPCX,Space Exploration Technologies Corp,NASDAQ,common,Communications,1926517010943.111,18674000000,33.24295397788084,-4937000000,,,39708000000,24373584719.15
META,"Meta Platforms, Inc.",NASDAQ,common,Technology Services,1474623913629.3137,200966000000,22.16703849824621,60458000000,40976000000,,112318000000,9347674995
TSLA,"Tesla, Inc.",NASDAQ,common,Consumer Durables,1293516327418.214,94827000000,-2.9306991503736306,3794000000,5762000000,,16080000000,9380888908.11
LLY,Eli Lilly and Company,NYSE,common,Health Technology,1148719206351.389,65179000000,44.70491333778837,20640000000,18190100000,,54908000000,2368540294.68
MU,"Micron Technology, Inc.",NASDAQ,common,Electronic Technology,1029204630630.4763,37378000000,48.85110111106686,8539000000,26172000000,,6376000000,33402929425.949997
BRK.A,Berkshire Hathaway Inc.,NYSE,common,Finance,988344737915.6338,371444000000,0.0029615031513085806,66968000000,24215000000,,129370000000,155856002.04
JPM,JP Morgan Chase & Co.,NYSE,common,Finance,970716488384.9955,279069000000,0.13850862808280376,56780000000,153745000000,,1276819000000,1594277646.58
WMT,Walmart Inc.,NASDAQ,common,Retail Trade,923216773985.0647,713163000000,4.725214211766779,21893000000,12552000000,,74179000000,2557173743.01
AMD,"Advanced Micro Devices, Inc.",NASDAQ,common,Electronic Technology,788371152133.8435,34639000000,34.33779329067288,4335000000,8403000000,,4276000000,8983656549.07
V,Visa Inc.,NYSE,common,Finance,671054175137.9602,40000000000,11.339976618604911,19853000000,21013000000,,23858000000,1363310610.7
XOM,ExxonMobil Holdings Corporation,NYSE,common,Energy Minerals,656877972017.6047,323905000000,-4.708038645751203,28844000000,30553000000,,42368000000,2111602178.25
JNJ,Johnson & Johnson,NYSE,common,Health Technology,628646076868.7249,94178000000,6.0336189328859815,26804000000,22244000000,,49036000000,1207306513.0800002
INTC,Intel Corporation,NASDAQ,common,Electronic Technology,509191795228.8701,52853000000,-0.4670345191239336,-267000000,344000000,,50537000000,16382869419.6
MA,Mastercard Incorporated,NYSE,common,Finance,490329043793.3642,32836000000,16.609254590006746,14968000000,16490000000,,24643000000,1732496446.28
CSCO,"Cisco Systems, Inc.",NASDAQ,common,Electronic Technology,488264946051.3091,56654000000,5.298961024478189,10180000000,11788000000,,33001000000,4455374055.08
BAC,Bank of America Corporation,NYSE,common,Finance,453200032563.47656,194259000000,-0.8199525183161872,30509000000,82168000000,,743986000000,1784127204.99
